SITE_ID,OZONE,LATITUDE,LONGITUDE
ABT147,34.125,41.84046,-72.010368
ACA416,33.583333333333336,44.377086,-68.2608
ALC188,23.291666666666668,30.701577,-94.674011
ALH157,24.333333333333332,38.869001000000004,-89.622815
ANA115,32.416666666666664,42.416636,-83.90218
ASH135,21.083333333333332,46.603832000000004,-68.413227
BBE401,48.166666666666664,29.302651,-103.177813
BEL116,25.208333333333332,39.028177,-76.817127
BVL130,24.833333333333332,40.051981,-88.372495
BWR139,31.666666666666668,38.444971,-76.111274
CAD150,12.833333333333334,34.179278000000004,-93.09875500000001
CAN407,48.0,38.458323,-109.82126000000001
CDR119,17.0,38.879503,-80.847677
CDZ171,29.125,36.784053,-87.85015
CHA467,47.458333333333336,32.009405,-109.389058
CHE185,34.333333333333336,35.750786,-94.669789
CKT136,34.625,37.921459999999996,-83.066295
CND125,16.875,35.263329999999996,-79.83754
CNT169,45.875,41.364531,-106.24002
CON186,69.95833333333333,34.194047999999995,-116.912977
COW137,11.916666666666666,35.060527,-83.43034
CTH110,44.375,42.400875,-76.653516
CVL151,19.833333333333332,34.002747,-89.799183
DCP114,24.791666666666668,39.635888,-83.260563
ESP127,22.666666666666668,36.03893,-85.73305
GAS153,26.291666666666668,33.181173,-84.410054
GLR468,18.666666666666668,48.510301,-113.996807
GRB411,48.333333333333336,39.005121,-114.21593200000001
GRC474,50.041666666666664,36.058642,-112.183575
GRS420,34.5,35.633482,-83.94160600000001
GTH161,38.041666666666664,38.95627,-106.98586999999999
HOW132,23.5,45.215607,-68.70851
HOX148,30.041666666666668,44.180890000000005,-85.73898
HWF187,26.875,43.973044,-74.22331700000001
IRL141,14.5,27.849215,-80.455595
JOT403,76.45833333333333,34.069569,-116.38893300000001
KEF112,33.208333333333336,41.598119,-78.767866
KNZ184,34.041666666666664,39.10216,-96.609583
LAV410,46.208333333333336,40.539991,-121.576462
LRL117,24.791666666666668,39.988309,-79.251573
LYK123,31.875,40.916981,-82.99820600000001
MAC426,29.956521739130434,37.131794,-86.142953
MCK131,36.75,37.704678,-85.04870600000001
MCK231,36.583333333333336,37.704678,-85.04870600000001
MEV405,50.208333333333336,37.198398,-108.49046200000001
MKG113,34.5,41.426846999999995,-80.145247
MOR409,35.75,46.758379999999995,-122.12428999999999
OXF122,26.208333333333332,39.531115,-84.723547
PAL190,41.458333333333336,34.88061,-101.664703
PAR107,25.041666666666668,39.090434,-79.661742
PED108,22.041666666666668,37.165222,-78.307067
PET427,47.47826086956522,34.822508,-109.89248500000001
PIN414,24.625,36.483235,-121.156876
PND165,39.666666666666664,42.929031,-109.787796
PNF126,26.541666666666668,36.105435,-82.045015
PRK134,27.75,45.206525,-90.59720899999999
PSU106,30.458333333333332,40.720902,-77.931759
QAK172,38.625,39.942714,-81.337914
ROM206,36.25,40.278129,-105.545635
ROM406,38.958333333333336,40.278129,-105.545635
SAL133,29.916666666666668,40.816038,-85.661407
SAN189,26.083333333333332,42.829153999999996,-97.854128
SEK430,65.5,36.489469,-118.829153
SHN418,37.958333333333336,38.5231,-78.43471
SND152,26.041666666666668,34.289001,-85.970065
SPD111,22.875,36.46983,-83.826511
STK138,27.166666666666668,42.287216,-89.99995
SUM156,8.208333333333334,30.110226,-84.99038
THR422,33.291666666666664,46.894844,-103.377719
UVL124,32.666666666666664,43.613572,-83.35986899999999
VIN140,22.833333333333332,38.740792,-87.484923
VOY413,24.791666666666668,48.412518,-92.829225
VPI120,35.708333333333336,37.329832,-80.55751
WNC429,56.125,43.557639,-103.483856
WSP144,34.666666666666664,40.312303,-74.872663
WST109,20.958333333333332,43.944519,-71.700787
YEL408,34.5,44.565356,-110.40033799999999
YOS404,53.458333333333336,37.713251,-119.70619599999999
